"1 King Bed, 1 Queen Bed, 1 Twin Bed"
1 Bedroom
Jetted tub
"872 Tehama Dr, Big Bear Lake, CA 92315"
"42666 Falcon Avenue, Big Bear Lake, CA 92315"
Deck
Max Occupancy: 6
Fireplace
"1 King Bed, 2 Double Bed, 2 Twin Bed"
"43093 Bear Creek Ct. , Big Bear Lake, CA 92315"
Wood-burning fireplace
Fridge
"1 Double Bed, 6 Twin Bed, 1 Futon"
Cable :Charter
"1027 Clubview Drive, Big Bear Lake, CA 92315"
"576 Wren Dr., Big Bear Lake, CA 92315"
"1 King Bed, 2 Double Bed, 4 Twin Bed, 1 Futon"
"466 SPRUCE, Sugarloaf, CA 92314"
"1 King Bed, 6 Twin Bed, 1 Sofa Bed"
Max Occupancy: 16
"42725 Cougar Rd, Big Bear Lake, CA 92315"
Beach towels
"2 Queen Bed, 1 Double Bed"
"753 Mountain Sky Dr, Big Bear Lake, CA 92315"
Stove
"2 Queen Bed, 1 Futon, 1 Sofa Bed"
"816 Robinhood Blvd, Big Bear City, CA 92314"
"569 Summit Blvd unit #3, Big Bear Lake, CA 92315"
Hot tub :Private
Propane/gas home :Gas
3 Bedrooms Plus Loft
Netflix streaming
"933 Nana Ave., Big Bear City, CA 92314"
"1377 Clubview Dr #17 , Big Bear Lake, CA 92315"
Dog Friendly (40 lb weight limit)
Max Occupancy: 10
Golf on-site
"135 Lake Dr, Big Bear Lake, CA 92315"
"1 Queen Bed, 1 Double Bed"
Internet
"40092 Hillcrest Drive, Big Bear Lake, CA 92315"
Max Occupancy: 9 (6 Adults)
"1 King Bed, 2 Queen Bed, 1 Futon"
"42637 Falcon Ave, Big Bear Lake, CA 92315"
Microwave
"1 King Bed, 1 Queen Bed, 1 Double Bed, 1 Twin Bed, 1 Sofa Bed"
5.5 Bathrooms
Wood stove
"788 Raleigh Dr, Big Bear City, CA 92314"
"38620 Talbot Dr, Big Bear Lake, CA 92315"
"42536 Cedar ave, Big Bear Lake, CA 92315"
"41893 Evergreen Dr Unit A, Big Bear Lake, CA 92315"
Gas fireplace
"597 Cedar Lane, Sugarloaf, CA 92386"
Ping-pong table
"2 King Bed, 6 Queen Bed"
Dock
"40063 Lakeview Dr, Big Bear Lake, CA 92315"
"1 King Bed, 3 Twin Bed"
"718 Silver Tip Drive, Big Bear Lake, CA 92315"
Patio
"42583 Peregrine Ave, Big Bear Lake, CA 92315"
"1156 Wendy Ave, Big Bear City, CA 92314"
"43544 Ridgecrest Drive, Big Bear Lake, CA 92315"
"593 Wabash Ave., Sugarloaf, CA 92386"
"40256 Esterly Ln, Big Bear Lake, CA 92315"
"1 King Bed, 1 Queen Bed, 2 Twin Bed"
Space heater
"1 Queen Bed, 1 Double Bed, 1 Twin Bed"
"1 Queen Bed, 3 Double Bed, 3 Twin Bed, 1 Futon"
Cable :Dish Network
"3 Queen Bed, 2 Double Bed, 1 Twin Bed"
"1 King Bed, 1 Twin Bed, 1 Futon"
2.5 Bathrooms
"862 Ravine Rd , Big Bear Lake, CA 92315"
"104 Deer Horn Dr., Big Bear City, CA 92314"
"426 Chip-O-Wood, Big Bear Lake, CA 92314"
Stereo
"43518 Ridgecrest Drive, Big Bear Lake, CA 92315"
"1058 Bruin Trail, Fawnskin, CA 92333"
"840 E. Barker Boulevard, Big Bear City, CA 92314"
"421 Crane Dr, Big Bear Lake, CA 92315"
3.5 Bathrooms
"1033 E. Country Club Bl. , Big Bear City, CA 92314"
3 Queen Bed
"1 King Bed, 2 Twin Bed"
HBO streaming
Ski-in/ski-out
"2 Queen Bed, 1 Twin Bed, 1 Futon"
"2 Queen Bed, 1 Double Bed, 1 Futon"
"41569 Swan Dr. , Big Bear Lake, CA 92315"
Foosball table
Partial AC
"1 Queen Bed, 4 Twin Bed"
"1 King Bed, 1 Queen Bed, 6 Twin Bed"
"39882 Lakeview Dr, Big Bear Lake, CA 92315"
"420 W Country Club Blvd, Big Bear City, CA 92314"
"42203 Evergreen Dr, Big Bear Lake, CA 92315"
Waterfront
"42742 Willow Ave, Big Bear Lake, CA 92315"
"1 King Bed, 2 Queen Bed, 3 Futon"
"41431 Comstock Lane, Big Bear Lake, CA 92315"
6 Bathrooms
"43521 Villa Grove Ave, Big Bear Lake, CA 92315"
"41688 McWhinney Lane, Big Bear Lake, CA 92315"
"41815 Brownie Lane, Big Bear Lake, CA 92315"
"1 King Bed, 1 Queen Bed, 1 Double Bed, 2 Twin Bed"
Crib
Internet :Charter
"2 Double Bed, 3 Twin Bed"
"39380 Northshore Drive, Fawnskin, CA 92333"
"204 Vista Avenue, Sugarloaf, CA 92386"
"715 Cameron, Big Bear Lake, CA 92315"
"43331 Deer Canyon Dr, Big Bear Lake, CA 92315"
"42550 La Placida, Big Bear Lake, CA 92315"
"2 Queen Bed, 1 Double Bed, 5 Twin Bed"
Cable
DVD player
"1 King Bed, 1 Queen Bed, 1 Double Bed, 1 Twin Bed"
"42420 Fox Farm Road, Big Bear Lake, CA 92315"
"7 King Bed, 10 Twin Bed"
"438 Crane Dr, Big Bear Lake, CA 92315"
"1 King Bed, 2 Queen Bed"
"154 Lodgepole Place, Big Bear Lake, CA 92315"
"1 King Bed, 1 Queen Bed, 3 Double Bed, 6 Twin Bed"
7 Bathrooms
"2 Queen Bed, 2 Twin Bed, 1 Sofa Bed"
Sauna :Private
"44466 Valley View Ln, Big Bear City, CA 92314"
"1 Queen Bed, 1 Double Bed, 3 Twin Bed"
Gym/fitness room
Max Occupancy: 4
Dishwasher
"1 Queen Bed, 3 Twin Bed"
Sleeps 7 Comfortably
"2 Queen Bed, 4 Twin Bed"
"2 King Bed, 2 Queen Bed, 2 Futon"
"42653 Constellation Drive, Big Bear Lake, CA 92315"
1 Dog Max (18 lb weight limit)
"42854 Hawk Dr, Big Bear Lake, CA 92315"
Pool table :Private
1.5 Bathrooms
"3 Queen Bed, 1 Twin Bed"
"1 Queen Bed, 3 Double Bed, 1 Sofa Bed"
"735 Tayles Point Road, Big Bear Lake, CA 92315"
"1 King Bed, 1 Queen Bed, 4 Twin Bed"
"637 Villa Grove Avenue, Big Bear City, CA 92314"
"301 Starlight Cir, Big Bear Lake, CA 92315"
"526 W Rainbow Blvd, Big Bear City, CA 92314"
"1 King Bed, 3 Queen Bed, 1 Sofa Bed"
No Pets
"207 Pinecrest Dr, Big Bear Lake, CA 92315"
4WD/Traction May Be Required In Winter
Children's games
"430 Crane Dr., Big Bear Lake, CA 92315"
"2 Queen Bed, 2 Twin Bed"
Water view
Baby gates
"40203 Dream St, Big Bear Lake, CA 92315"
"41764 Brownie Ln Unit 6, Big Bear Lake, CA 92315"
"787 Berkley Ln , Big Bear Lake, CA 92315"
Max Occupancy: 7
"1 King Bed, 1 Queen Bed"
"1315 Siskiyou Dr, Big Bear Lake, CA 92315"
Max Occupancy: 8
"1 King Bed, 4 Double Bed, 4 Twin Bed"
"41436 Park Avenue , Big Bear Lake, CA 92315"
"670 imperial avenue , Sugarloaf, CA 92386"
Firepit
"40179 Lakeview Drive , Big Bear Lake, CA 92315"
"1 King Bed, 1 Queen Bed, 2 Double Bed, 2 Twin Bed"
"42603 Willow Ave, Big Bear Lake, CA 92315"
"211 Highland , Sugarloaf, CA 92386"
"3 Queen Bed, 2 Sofa Bed"
Central AC
"1080 Antelope Mountain Dr., Big Bear City, CA 92314"
VCR
"1 King Bed, 1 Queen Bed, 2 Double Bed, 1 Twin Bed, 1 Futon, 1 Sofa Bed"
"609 Conklin Road, Big Bear Lake, CA 92315"
Game room
"4 Queen Bed, 2 Futon"
"880 Highland Ln , Sugarloaf, CA 92386"
"1 King Bed, 2 Queen Bed, 2 Twin Bed"
"41632 Comstock , Big Bear Lake, CA 92315"
Max Occupancy: 2
"506 Talmadge Road, Big Bear Lake, CA 92315"
"1 Double Bed, 1 Sofa Bed"
Dog Friendly (15 lb weight limit)
"42594 La PlacIda, Big Bear Lake, CA 92315"
Gas grill :Private
Dog Friendly (50 lb weight limit)
Balcony
"1 King Bed, 1 Queen Bed, 2 Double Bed, 1 Twin Bed"
Max Occupancy: 11
"1039 Brookside, Fawnskin, CA 92333"
"43850 Yosemite Dr , Big Bear Lake, CA 92315"
Max Occupancy: 7 (5 Adults)
"1 Queen Bed, 2 Double Bed, 3 Twin Bed"
Cable :DirecTV
Sleeps 5 Comfortably
"1 Queen Bed, 4 Twin Bed, 1 Sofa Bed"
"3 Queen Bed, 1 Double Bed"
"42413 Bear Loop , Big Bear City, CA 92314"
2 Bathrooms
7 Bedrooms
"1 Queen Bed, 1 Futon"
Blu-Ray player
Max Occupancy: 3
"355 Mullins Dr., Big Bear City, CA 92314"
Washer/dryer :Private
1 Bedroom Plus Loft
"1 King Bed, 2 Queen Bed, 1 Twin Bed, 1 Sofa Bed"
5 Bedrooms
TV
"820 W Sherwood Blvd., Big Bear City, CA 92314"
Adult bikes
Canoe available for guest use
"785 Cameron Dr, Big Bear Lake, CA 92315"
"408 Garrick Way, Big Bear City, CA 92314"
"43025 Encino Rd., Big Bear Lake, CA 92315"
Tennis court :Shared
2 Queen Bed
Enclosed yard
Children's bikes
"2 King Bed, 1 Queen Bed"
"831 Edgemoore Rd, Big Bear Lake, CA 92315"
"42930 Sunset Drive, Big Bear Lake, CA 92315"
"1 Queen Bed, 1 Twin Bed"
2 Twin Bed
"2 King Bed, 1 Queen Bed, 4 Twin Bed, 1 Sofa Bed"
"43517 Ridgecrest Dr., Big Bear Lake, CA 92315"
Playground
Sleeps 4 Comfortably
Iron
Lanai
"2 King Bed, 2 Double Bed, 2 Twin Bed"
"43342 Sheephorn Road, Big Bear Lake, CA 92315"
4 Bedrooms
Basketball court :Private
"128 Lagunita Ln, Big Bear Lake, CA 92315"
"302 W Rainbow Blvd, Big Bear City, CA 92314"
"1325 Flintridge Ave, Big Bear City, CA 92314"
"849 Highland Ln, Sugarloaf, CA 92386"
"441 Villa Grove Ave, Big Bear City, CA 92314"
"432 Elysian Boulevard, Big Bear City, CA 92314"
"4 King Bed, 3 Twin Bed, 2 Sofa Bed"
"337 Sites Way, Big Bear City, CA 92314"
Dog Friendly
"424 Dorset Drive, Big Bear City, CA 92314"
1 Dog Max
Gaming system
3 Double Bed
Max Occupancy: 14
"634 Golden West Drive, Big Bear Lake, CA 92315"
"125 Starvation Flats , Big Bear Lake, CA 92315"
"549 Marlowe Dr, Big Bear City, CA 92314"
"887 Vista Ave, Sugarloaf, CA 92386"
Max Occupancy: 12
Sleeps 6 Comfortably
"3 Queen Bed, 2 Double Bed, 2 Twin Bed"
"1 Queen Bed, 2 Double Bed"
2 Dog Max (50 lb weight limit)
Max Occupancy: 6 (3 Adults)
Sleeps 2 Comfortably
"1 King Bed, 1 Queen Bed, 1 Double Bed, 3 Twin Bed"
Pack-N-Play
"651 Holmes Lane, Sugarloaf, CA 92386"
"3 King Bed, 1 Double Bed, 1 Twin Bed, 1 Sofa Bed, 1 Crib"
"335 Arroyo Unit A, Big Bear Lake, CA 92315"
Wireless router
"1 Queen Bed, 2 Twin Bed, 1 Futon"
"115 Wabash, Sugarloaf, CA 92386"
DVD library
"42646 La Cerena Ave, Big Bear Lake, CA 92315"
"888 Jay Bird Ln, Big Bear Lake, CA 92315"
"1 Queen Bed, 2 Twin Bed"
2 Bedrooms Plus Loft
Max Occupancy: 5
"43418 Sheephorn Drive, Big Bear Lake, CA 92315"
Max Occupancy: 5 (4 Adults)
"1 Double Bed, 2 Twin Bed, 1 Futon"
"43433 Sand Canyon, Big Bear Lake, CA 92315"
"1 King Bed, 1 Queen Bed, 1 Sofa Bed"
"524 W Rainbow Blvd, Big Bear City, CA 92314"
"3 King Bed, 4 Twin Bed"
"2 Queen Bed, 1 Twin Bed, 1 Sofa Bed"
"1 King Bed, 2 Queen Bed, 1 Sofa Bed"
1 Dog Max (15 lb weight limit)
"1 King Bed, 1 Queen Bed, 4 Twin Bed, 1 Futon"
"1 Queen Bed, 1 Double Bed, 1 Sofa Bed"
"1 Queen Bed, 1 Futon, 1 Sofa Bed"
"1 King Bed, 1 Queen Bed, 1 Double Bed, 6 Twin Bed"
Sleeps 3 Comfortably
"1 King Bed, 1 Double Bed, 2 Twin Bed, 1 Sofa Bed"
Board games
"41670 Park Ave, Big Bear Lake, CA 92315"
"1 King Bed, 2 Double Bed"
"485 Echo Lane, Big Bear Lake, CA 92315"
Sound dock
"2 King Bed, 2 Double Bed"
"42628 Sonoma Drive, Big Bear Lake, CA 92315"
"948 Michael Ave, Big Bear City, CA 92314"
Sleeps 12 Comfortably
Internet :DirecTV
1 Bathroom
"43181 Sand Canyon Rd. , Big Bear Lake, CA 92315"
"43397 Shasta Road, Big Bear Lake, CA 92315"
"337 Cinderella Dr. , Big Bear City, CA 92314"
Sleeps 8 Comfortably
"1 King Bed, 1 Queen Bed, 2 Twin Bed, 1 Sofa Bed"
"2 Queen Bed, 1 Double Bed, 1 Twin Bed"
"825 Edgemoor Rd, Big Bear Lake, CA 92315"
Max Occupancy: 9
"42697 Cougar Rd, Big Bear Lake, CA 92315"
"857 Jaybird, Big Bear Lake, CA 92315"
"1 Queen Bed, 1 Double Bed, 1 Twin Bed, 1 Sofa Bed"
Max Occupancy: 8 (6 Adults)
High chair
"211 Orion Way, Big Bear Lake, CA 92315"
"42929 Monterey Street, , Big Bear Lake, CA 92315"
"1 King Bed, 3 Double Bed"
"39969 Forrest Road, Big Bear Lake, CA 92315"
3 Bedrooms
"43201 Sand Canyon, Big Bear Lake, CA 92315"
"294 Santa Clara Blvd., Big Bear Lake, CA 92315"
Beach chairs
"1 Queen Bed, 3 Twin Bed, 1 Sofa Bed"
"1 Queen Bed, 2 Double Bed, 1 Twin Bed"
"1229 Pigeon Rd., Big Bear Lake, CA 92315"
"760 Butte Ave, Big Bear Lake, CA 92314"
"747 Vista Avenue, Sugarloaf, CA 92314"
"42707 La Cerena, Big Bear Lake, CA 92315"
"425 Arroyo Drive, Big Bear Lake, CA 92315"
"42546 Peregrine Ave., Big Bear Lake, CA 92315"
"42565 Peregrine Ave, Big Bear Lake, CA 92315"
Max Occupancy: 7 (6 Adults)
"335 Arroyo Unit C, Big Bear Lake, CA 92315"
2 Bedrooms
"41893 Evergreen Dr. Unit B, Big Bear Lake, CA 92315"
"39821 Snowball Lane, Big Bear Lake, CA 92315"
"3 Queen Bed, 2 Twin Bed"
2 Dog Max (70 lb weight limit)
VHS library
"1394 Lassen Ct., Big Bear Lake, CA 92315"
2 Dog Max
"1 Queen Bed, 1 Double Bed, 1 Twin Bed, 1 Futon"
"40366 Cliff Ln, Big Bear Lake, CA 92315"
"3 Queen Bed, 4 Twin Bed"
"692 San Bernadino Avenue, Sugarloaf, CA 92386"
Walk to lifts
1 Queen Bed
3 Bathrooms
"1 Queen Bed, 2 Twin Bed, 1 Sofa Bed"
"2 Queen Bed, 1 Sofa Bed"
"319 S Eureka Dr, Big Bear Lake, CA 92315"
"836 Lowe Drive, Big Bear Lake, CA 92315"
Max Occupancy: 6 (4 Adults)
